"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","13","0","12","4"
"","","Add New Course Page","0","0","0","2","0"
"","","Home page","0","0","0","4","0"
"","","Flashcards","0","0","0","6","0"
"","","Tests","0","0","0","6","0"
"","","Home Page","0","0","0","2","0"
"","","Mnemonic Cards","0","0","0","2","0"
"","","Profile","0","0","0","1","0"
"","","Study Guide","0","0","0","3","1"
"","","StudyGuide","0","0","0","1","0"
"","","Performance","0","0","0","3","0"
"","","Search","0","0","0","2","0"
"","","StripeModal","0","0","0","1","0"
"","","Subscription payment was successful","0","0","0","1","0"
"","","Profile page","0","0","0","1","0"
